annotation,labels,GRNTI
résumél optique de propagation du rayonnement lumineux dans un système de gouttes explosive de solution aqueuses de chlorure de cuivre qui se forme sous l action d impulsion lumineuses millisecondes sur un aérosol a été expérimentalement étudiée on retrouve l effet de la turbidité du canal pendant le temp d impulsion qui est associée à la fragmentation de gouttelettes lors de l explosion et à la formation d une lentille thermique diffusante dans le milieu de mécanismes possible pour la relaxation de propriétés optiques d un canal de guide d ondes formé dans le brouillard sont discutés,22,Физика
le problèmes de création d un système d information et d analyse pour la mesure à distance du niveau d eau afin d établir des prévisions détaillées de l évolution de situations négatives et de minimiser le dommages dus à la notification en temp opportun de spécialistes des situation d urgence sont pris en compte l article propose une architecture distribuée du système de surveillance constituée d un réseau de complex mobile de contrôle et de mesure d un centre de stockage d information et d un centre d analyse,6,Государство И Право. Юридические Науки
sur la base de la méthode de recherche historico génétique l article examine les activités du fonds d aide à la russie de la croix rouge britannique de mme churchill pendant la grande guerre patriotique deux hôpitaux à plein temp étaient situés à l institut médical de rostov grâce à la fondation comme en témoignent un certain nombre de plaque commémoratives et d exposition de musée à rostov on don,2,История. Исторические Науки
l article traite de la pathomorphologie du mollet due à un arrêt respiratoire in utero à la suite d une paralysie du centre respiratoire due à l asphyxie causée par l aspiration de voies respiratoires avec du liquide amniotique la cause de la pathologie intranatale pourrait être un accouchement prolongé ou un traumatisme à la naissance les méthodes de recherche suivantes ont été utilisées examen externe autopsie pathoanatomique,49,Сельское И Лесное Хозяйство
l article est consacré au premier congrès de bibliothèques de la rsfsr juin qui a joué un rôle particulier dans l élaboration de fondements de la théorie et de la pratique de la construction de bibliothèques à l époque soviétique,9,Культура. Культурология
l article examine la structure des investissements en immobilisation ainsi que le facteurs limitant l activité d investissement de la région de samara,49,Сельское И Лесное Хозяйство
l article présente une caractéristique de l état actuel de l attractivité de investissements de l une de régions du sud de la russie le territoire de krasnodar sur la base de l analyse de investissements dans l économie du kouban le principales condition pour le développement de l attractivité de investissements des entreprises de la région sont identifiées,5,Экономика И Экономические Науки
l article traite des investissements dans le capital humain de leurs type et de leur efficacité l auteur donne les caractéristiques qui le distinguent des autres type d investissements,5,Экономика И Экономические Науки
cet article traite de principales tendances et prévisions de développement du marché de l assurance vie en fédération de russie entre et son rôle de développement sur le marché de l assurance générale de la russie est indiqué le principales compagnies d assurance rus sont identifiées et le facteurs et la dynamique du développement du marché de l assurance sont déterminés par la vie,5,Экономика И Экономические Науки
ce manuel fournit une brève description de stupéfiants de substance psychotropes et de leurs précurseurs que l on trouve le plus souvent dans le trafic illicite,6,Государство И Право. Юридические Науки
le support pédagogique contient les principaux test recommandés pour le suivi du niveau de développement de qualités physique et de capacités fonctionnelles de l organisme l application de méthodes décrites permettra de mener de manière fiable de recherches et d exercer un contrôle pédagogique lors des séances d entraînement en éducation physique le manuel est destiné aux enseignants de culture physique dans les écoles et le universités aux étudiants de la faculté de culture physique ainsi qu à un large éventail de lecteurs intéressés par ce problème,57,Физическая Культура И Спорт
l article est consacré au problème de l organisation du développement du compte personnel d un étudiant qui est partiellement mi en œuvre sur deux portails skif et sur le site ec donstu ru,10,Народное Образование. Педагогика
le problème de l application de méthodes économiques pour identifier et prouver les faits d action illégales en matière de faillite est examiné les abus possible dans ce domaine sont montrés la méthodologie de l auteur pour une analyse complète de l insolvabilité est présentée,6,Государство И Право. Юридические Науки
le manuel a été développé pour les étudiants en géographie de établissements d enseignement supérieur qui étudient dans les direction géographie et enseignement pédagogique profil enseignement géographique peut être utilisé pour former de étudiants de troisième cycle dans la direction hydrologie terrestre ressources en eau hydrochimie,27,Геофизика
le territoire de la région du moyen ob a été découpé en paysages en vue de le hiérarchiser ensuite par ordre de stabilité,29,География
cet article présente un modèle d optimisation de bénéfices des ventes et de la structure du bilan basé sur le données comptables,5,Экономика И Экономические Науки
l article définit le rôle fondamental du mécanisme budgétaire dans la gestion de budget des territoires de la fédération de russie et justifie la nécessité d améliorer ses éléments les plus importants la planification budgétaire les leviers le incitation et le sanction,5,Экономика И Экономические Науки
le livre est consacré à la justification de la conscience de valeurs en tant que nouvelle forme de vision du monde qui combine une large tolérance pour une variété de culture de croyances et d intérêts avec une défense rigoureuse des valeurs cardinales la vie fondamentale et les droits civils d une personne il considère les prérequis et le fondements historiques historiques philosophiques et éthiques de la conscience de valeurs et de valeurs généralement significatives établit le principe de l axiologie constructive comme direction de réflexion systématique de critique et de renouvellement de systèmes de valeurs ce idées et concept sont utilisés pour formuler et résoudre conceptuellement les problèmes globaux de développement durable résoudre et constructiviser les conflits en particulier le conflits territoriaux liés au contrôle de ressources ainsi que le problèmes d exigences internationale et nationales en matière d éducation sociale et humanitaire,1,Философия
la collection contient de article de participant de la iie conférence scientifique et pratique internationale consacrés aux question d actualité de la stratégie de développement de l environnement éducatif le matériaux de la collection présentent les résultats de la recherche théorique et appliquée de représentants de la communauté scientifique et éducative dans ce domaine,10,Народное Образование. Педагогика
l article analyse de modèles d évaluation du risque de faillite afin de déterminer la possibilité de leur application pratique par de organisations rus dans des condition modernes,5,Экономика И Экономические Науки
de exemples de devoir pour la conception de cours sont présentés le principales disposition pour la mise en œuvre de travaux de cours et de projets de cours de exemples de conception d un règlement et d une note explicative la mise en œuvre de schémas de dessins d illustration pour le direction et sont donnés,39,Машиностроение
cet article analyse les principales étapes de la formation d une culture de recherche projet de jeunes écoliers à travers l utilisation de technology pédagogiques basées sur l activité comme outils du fgos ieo le condition qui contribuent à la motivation de l élève pour le développement et l apprentissage sont énumérées les caractéristiques et le principales fonctions du projet sont notées,10,Народное Образование. Педагогика
le problème de contrecarrer l utilisation de entreprises d un jour est considéré,6,Государство И Право. Юридические Науки
cet article est consacré à l étude de l utilisation de méthodes statistiques de régulation dans la politique de management de la qualité dans une entreprise industrielle,5,Экономика И Экономические Науки
l article traite du rôle et de l importance de la prévision du cycle de gestion le sens l essence le principes la méthodologie la technologie de la planification dans l organisation sont révélés un schéma fonctionnel du processus de formation d une prévision d une stratégie d une tactique et d un plan opérationnel de l organisation est présenté le processus de prévision de la valeur de actifs de production actuels est considéré sur l exemple du volume des ventes l invention concerne un procédé d utilisation de réseaux neuronaux dans un procédé quantitatif de prédiction de produits finis,5,Экономика И Экономические Науки
l article traite du rôle et de l importance d événements tels que le jeux olympiques et la coupe du monde pour le tourisme dans notre pay ainsi que de l impact supplémentaire du tourisme événementiel sur l industrie du tourisme en russie,52,Внутренняя Торговля. Туристско-Экскурсионное Обслуживание
le concept d automatisation du processus de test de ressources d information avec une interface graphique basée sur l utilisation de technology de réseau est considéré le modèle et l architecture du système développé sont donnés la description de l algorithme de fonctionnement du système est faite,5,Экономика И Экономические Науки
cet article traite de l essence et du concept d une approche axée sur l innovation dans le travail avec le personnel en outre le principales tendances dans le développement de l identification et de l application du potentiel créatif de employés sont révélées,52,Внутренняя Торговля. Туристско-Экскурсионное Обслуживание
assurer la sécurité économique de l état et de toute autre entité économique joue un rôle important la sécurité économique est une composante importante de la sécurité nationale car l économie imprègne toutes les sphères de l activité de l état le auteur de l article notent que le renforcement et l émergence de nouvelles menace à la sécurité économique se produisent dans le contexte de la manifestation de processus de mondialisation et d intégration,5,Экономика И Экономические Науки
la collection contient des document des participant de la ive conférence scientifique et pratique internationale de étudiants consacrée aux question d actualité de la science et de l éducation le résultats de développements scientifiques originaux et d aide pédagogiques avec la participation d étudiants de l enseignement professionnel supérieur et secondaire ainsi que d étudiants de premier cycle sont présentés,10,Народное Образование. Педагогика
l activité de l historien militaire général de division chef du parti vasily andreevich andreev qui était le directeur de la bibliothèque publique d état du nom de i i me saltykov shchedrin aujourd hui bibliothèque nationale russe en,9,Культура. Культурология
une analyse de la dynamique de l indice de l éducation dans la fédération de russie a été réalisée à l aide d une analyse factorielle basée sur les tendances identifiées dans l indice clé et les indicateurs qui l affectent une prévision de l indice de l éducation jusqu en a été élaborée,5,Экономика И Экономические Науки
le problème de l impact axial d une boule absolument rigide et d un demi espace élastique qui diffère de problèmes classiques de g hertz et n a kilchevsky est considéré le équations dynamiques et cinématiques de l impact sont données pour identifier de solution adéquates à la réalité le problème est considéré comme un problème variationnel non classique,20,Математика
l article examine les tendances du développement de l industrie mondiale de carburants le principales caractéristiques de l industrie mondiale de carburants sont décrites le auteurs utilisant la méthode cartographique évaluent l état actuel de industry mondiales du pétrole du gaz et du charbon,29,География
l article traite de problèmes de formation de ingénieurs aérospatiaux modernes dans le cadre du système de formation continue les auteur ont déterminé le rôle et la place de l enseignement complémentaire dans le processus de formation de spécialistes identifié le compétences technique et technologiques nécessaires de futurs ingénieurs de fusées et présenté le résultats d une expérience sur la formation de ce compétences technique et technologiques dans le cadre de la compétence informationnelle du demandeur,10,Народное Образование. Педагогика
cet article est consacré à l importance de engrais potassiques pour l ensilage de tournesol selon l auteur les engrais minéraux organiques et potassiques doivent être appliqués avant les labour d automne cela augmente leur efficacité par rapport à l application au printemps et réduit le stress de travaux sur le terrain au printemps,49,Сельское И Лесное Хозяйство
l article révèle la problématique de la prévention sociale de l addiction aux jeux informatiques en raison du fait qu actuellement le problème du jeu est assez aigu une prévention sociale est nécessaire réalisée par un travailleur social pour prévenir et prévenir le développement de la dépendance au jeu informatique chez les adolescent,11,Психология
l article présente les résultats d études sur l une de phase le plus importantes du processus de reproduction la phase de floraison d adonis vernalis l la structure morphologique de la fleur la séquence d ouverture des anthères et le lobe du stigmate sont décrits en détail le mécanismes de transfert de pollen de anthères vers le stigmate du pistil dans des condition naturelles et de laboratoire en l absence de pollinisateurs sont montrés il a été établi que le principal type de pollinisation d adonis vernalis est l allogamie avec une éventuelle autogamie,25,Биология
dans l article présenté le chercheur a examiné la question de l utilité de application mobile pour le travail du personnel l auteur définit le fonctions des application mobile pour le rh,16,Информатика
aujourd hui l utilisation de technology cloud s est considérablement développée car elles constituent un moyen d étendre les capacités informatiques de toute organisation et ne nécessitent aucun investissement financier pour créer une nouvelle infrastructure attirer de nouveaux employés et recycler l ancien il ont également l avantage d être disponibles en temp réel via internet dans les heures depuis n importe où dans le monde dans cet article l auteur tente d analyser le avantages et les inconvénients de l utilisation de infrastructures cloud et de proposer de recommandations sur le choix et l utilisation des infrastructure cloud,16,Информатика
dans les travaux scientifiques présentés il est noté que dans le transport ferroviaire des indicateurs tels que la valeur actualisée nette et la période de récupération aident à évaluer correctement un projet d investissement,5,Экономика И Экономические Науки
l article est consacré à l examen de approches de la définition et de l analyse de l essence du terme d interaction avec les relation gouvernementales relation gouvernementales sa différence avec le lobbying,7,Политика И Политические Науки
le approches de développement de logiciels et de matériel pour la répartition et l automatisation d un complexe résidentiel sont analysées les party serveur et client d une application web pour le dispatch distribué d un complexe résidentiel sont décrites,36,Автоматика. Вычислительная Техника
une caractéristique comparative de la composition de huiles essentielles de deux type de genévrier et de quatre type de cyprès est donnée sur la base des données sur le rendement quantitatif et la composition de l huile essentielle dans les aiguilles et le cônes de espèces étudiées il a été révélé que les cônes de cyprès de l arizona et de mcnab sont le plus prometteurs pour une étude plus approfondie car il contiennent une quantité minimale de sesquiterpénoïdes et manquent de δ karène,24,Химия
l article traite de problèmes de lutte contre le saisies de raider fournit une justification d un phénomène tel que le raid en faillite fournit de recommandations pour le contrer,6,Государство И Право. Юридические Науки
la procédure d aromapsychorelaxation à l huile essentielle d aiguilles de cyprès à feuilles persistantes a un effet relaxant plus prononcé que la procédure de psychorelaxation subjectivement l aromapsychorelaxation s accompagne d une sensation de diminution de la tension et d une diminution de l efficacité objectivement avec aromapsychorelaxation il y a une diminution de la vitesse de travail dans le test de correction version lettre et une diminution de la mémoire à court terme,25,Биология
l article analyse l efficacité des investissements en action de sociétés en utilisant le coefficient le plus souvent utilisés par le investisseurs lors du choix de actifs d investissement,5,Экономика И Экономические Науки
l article analyse l état et le orientation du développement de innovation environnementales en russie dans le cadre de l étude de la dynamique et de la structure sectorielle de l introduction de éco innovation en russie de à différents type d innovation environnementales sont envisagés,5,Экономика И Экономические Науки
le matériaux de la neuvième conférence scientifique des étudiants diplômés et doctorants qui a eu lieu en février sont présentés imprimé à partir de originaux de l auteur,10,Народное Образование. Педагогика
le livre comprend des document sur l histoire du département de centrales nucléaires et de source d énergie renouvelables de l université fédérale de l oural du nom du premier président de la russie b n eltsine les matériaux reflètent le ans d histoire de la formation et du développement de l énergie nucléaire dans l oural et la formation de spécialistes pour l exploitation de centrales nucléaires et le développement de nouvelles technology énergétiques à urfu ugtu upi de à,32,Энергетика
le problèmes de construction d algorithmes pour déchiffrer le interférogrammes de cisaillement basés sur la solution de l équation de poisson sur une grille rectangulaire en utilisant l approximation standard aux différences finies à cinq point et les condition aux limit de dirichlet sont considérés un schéma d interféromètre avec l introduction de décalages de phase et spatiaux contrôlés est proposé,41,Приборостроение
l un de principaux résultats de l étape actuelle de la révolution scientifique et technologique a été la transformation d une personne en principal moteur de la production qui détermine la valeur du personnel pour l organisation le but de l article est d étudier l efficacité de la politique du personnel de l organisation et de formuler de recommandations pour son amélioration,61,Организация И Управление
la collection comprend des rapport et de résumés de la conférence scientifique et pratique internationale problèmes fondamentaux et appliqués de l instrumentation de l informatique et de l économie qui s est tenue du au octobre la collection contient livres dans lesquels le matériaux sont publiés dans les section lutherie informatique economie et gestion,16,Информатика
de no jours philosophes et psychologues éducateurs et sociologues scientifiques et ingénieurs spécialistes dans le domaine de la gestion de la conception et de la conduite de affaire et de jeux d activité organisationnelle parlent de réflexion un intérêt aussi massif pour ce phénomène n est nullement accidentel la réflexion est une composante nécessaire de processus d adaptation de spécialistes et de équipes de moyens et de méthodes d activité qu il mettent en œuvre à la dynamique de condition dans lesquelles se déroule l activité professionnelle parallèlement le possibilités pratiques de la réflexion sont révélées de études théoriques sur sa place dans diverses formes d activité sa structure et ses type sont menées ce dernières années six conférences scientifiques sur le problèmes de réflexion ont eu lieu dans notre pay auxquelles ont participé de nombreux représentants de diver science étudiant le phénomène de réflexion et de praticiens intéressés par la multiplication de capacités intellectuelles,8,Науковедение
un exemple d automatisation de la conception et de la documentation technologique à l aide du système de gestion de projet redmine est considéré,27,Геофизика
la chimie organique est l une de discipline scientifiques le plus jeunes et a un peu plus de cent cinquante an de son développement au cours de cette courte période historique la chimie organique a réussi à rejoindre les rangs de science fondamentales le plus développées et en développement rapide et à accumuler un vaste matériel factuel au moins de tous le composés chimiques actuellement connus sont organiques et leur nombre est d environ dix million la chimie organique domine l industrie chimique mondiale avec des milliers de produits organiques produits chaque année nourriture vêtements chaussures médicaments colorants structure de construction équipements électriques de radio et de télévision fibre synthétiques caoutchoucs amplificateurs de culture explosifs il s agit d une liste incomplète de ce que la chimie organique donne à une personne,24,Химия
l article présente de données sur le stock de géniteurs industriels de espèces de corégones formés à llc forvat selon la technologie et le soutien scientifique de gosniorkh le caractéristiques de chaque troupeau et les volume de caviar récoltés ce dernières années sont donnés leur pertinence pour l aquaculture commerciale nationale et le réalisations d élevage dans le développement de nouvelles race industrielles y compris peled priozerskaya le muksun industriel et sa forme spéciale golden sont montrées l importance et les perspective de l utilisation de géniteurs pour la reproduction artificielle de populations dépressives principalement celles du red data book et de espèces menacées sont soulignées,50,Рыбное Хозяйство. Аквакультура
on a beaucoup écrit sur les pétroglyphes de carélie en plus de travaux scientifiques solides de livres et de article de vulgarisation scientifique ont été publiés avec des mérites incontestables presque tous ont un défaut il ne reproduisent pa assez habilement le matériau pictural lui même fortement réduits rendus par une tache ou un contour noir conditionnel les dessins perdent une partie de leur véritable expressivité les photography ont un effet de présence incomparablement plus grand mais même elles ne sont pa toujours capables de rendre clairement le contour de personnages leur texture et leur arrière plan l insatisfaction de copy précédentes a conduit à l idée de préparer une édition dans laquelle le matériau pictural dominerait tous le effort ont été faits pour faire de nouvelles copy plus proches de l original afin de mieux montrer le qualités picturales de peintures rupestres des scènes et de image individuelles un petit volume ne permettait de loger qu une petite partie de tous le pétroglyphes ils constituent le contenu principal et la gamme visuelle le texte est réduit au minimum et vise à faciliter la première perception de image leur sen et leur essence le format le volume la conception l abondance de photo permettent de classer le livre comme de publication souvenirs et cadeaux associées à une certaine région mais un lecteur réfléchi et observateur devrait sentir qu il est tombé sur une source qui vous emmène au delà de la portée de l histoire locale et vous présente de problèmes universels tels que le développement de la conscience la créativité et la sphère spirituelle,2,История. Исторические Науки
le livre permet de se faire une idée générale de la diversité et de la singularité,6,Государство И Право. Юридические Науки
le développement de niveaux typologiques de classification forestière de l école typologique ukrainienne est démontré sur la base des caractéristiques générales de la structure typologique de forêts de crimée de catégories de typologie forestière et une approche de détermination de type de forêts basée sur une nouvelle grille écotopique sont proposées le la définition du taxon région typologique forestière est donnée et le zonage typologique forestier de l ukraine est précisé,49,Сельское И Лесное Хозяйство
le question d interaction entre les systèmes éducatifs de l école et de l université la possibilité de développer de technology pour l enseignement spécialisé les mesures pédagogiques dans le système école université sont envisagées,10,Народное Образование. Педагогика
le livre est dédié aux monument historiques et archéologiques exceptionnels de l europe du nord pétroglyphes gravure rupestres de rive du lac onega et de la mer blanche la place de pétroglyphes de carélie dans l art rupestre du nord de l eurasie leur chronologie leur contenu leur appartenance ethno culturelle les problèmes de conservation et d utilisation active dans le travail culturel éducatif et touristique sont considérés la publication est destinée au grand public,2,История. Исторические Науки
l article présente une méthode de traitement de résultats de la recherche empirique de données initiales et de exemples de tâches pour le étudiants du baccalauréat agroingénierie profil équipements électriques et technology électriques dans le complexe agro industriel étudiant la discipline fondements de la recherche scientifique dans l industrie de l énergie électrique,32,Энергетика
au stade actuel de développement le rythme de développement de processus d intégration s accélère comme en témoigne l émergence de nouvelles association d intégration brics est une union économique stratégique importante pour la russie dont les activités conjointes visent à améliorer le valeurs de indicateurs macroéconomiques et de indicateurs qui déterminent le niveau de vie de la population,5,Экономика И Экономические Науки
le manuel décrit les concept de base et les concept de la théorie de la gestion retrace l histoire de la pensée managériale et justifie le tendances modernes dans le développement de la théorie et de la pratique de la gestion le fonctions générales et spéciales de la direction sont examinées les fondements de la théorie de l organisation et du comportement organisationnel sont donnés une attention particulière est portée aux problèmes de gestion dans le domaine socio culturel,5,Экономика И Экономические Науки
dans les condition du progrès scientifique et technologique le développement de la pensée créative de spécialistes revêt une importance particulière seules une activité créative élevée le compétences pratiques et le capacités de pensée créative de spécialistes peuvent assurer le développement et l application efficaces des méthodes modernes de la technologie informatique de la sémiotique systèmes et autres moyens d activité cognitive et managériale mais tout cela nécessite l étude et l utilisation de connaissances sur le mécanismes de la pensée créative dans la préparation et la formation avancée du personnel dans les domaines de la science de l éducation de l art et d autres domaines d activité,8,Науковедение
l utilisation économique des ressources halieutiques l obtention de matériaux biologiquement actifs et de concentrés sur leur base comme aliment et thérapeutique n est possible que sur la base d une connaissance approfondie de la composition chimique du poisson,50,Рыбное Хозяйство. Аквакультура
le médicaments issus de la biotechnologie ont été développés pour la première fois au début des années dix an plus tard il ont été enregistrés pour la première fois le agences de réglementation ont publié un certain nombre de ligne directrices qui affectent la sécurité de ce médicaments l examen de ce document est une source d information utiles dans le développement de médicaments biologiques à l heure actuelle une riche expérience acquise dans l enregistrement de médicaments biologiques a été accumulée une évaluation complète de cette expérience a constitué la base de la création de ce document visant à établir des principe généraux pour la planification de programme fondés sur de données probantes pour l évaluation de la sécurité non clinique,44,Биотехнология
le chapitre fournit de recommandations pour évaluer la qualité de nouveaux médicaments obtenus à l aide de méthodes d adn recombinant basées sur une construction d expression stable ci après dénommées préparations biotechnologiques la substance active de ce préparations sont de protéines ou de peptide ci après protéines leurs dérivés et substance dont il sont le composants l étude préclinique et clinique ultérieure de l activité biologique spécifique de l efficacité et de la sécurité du médicament doit être réalisée sur de échantillons produits selon une technologie spécifique les caractéristiques de la protéine purifiée sont déterminées de projets de spécifications de la substance pharmaceutique biologique ou le faisceau final de la substance pharmaceutique biologique pour le stockage et obtenus à partir de celui ci sont développés,25,Биология
le résultats de la mise en œuvre du programme d état pour le développement de l industrie de la pêche de la république du bélarus et les perspective de développement de l aquaculture pour la période allant jusqu en sont examinés,50,Рыбное Хозяйство. Аквакультура
le caricature militaires sont une source précieuse pour l étude des événements historiques sur la base du matériel des caricature de la première guerre mondiale le caractéristiques de la perception du conflit armé par les party belligérantes sont étudiées,2,История. Исторические Науки
misost kuchukovich abaev est le premier historien professionnel karachay balkarien personnage public éducateur auteur d une série d article et d essais journalistiques ses recherches historiques balkarie article et essais about mountain school kalym et s conséquences document intéressant mountain school highlander of the north caucasus a sore question about kalym et d autres sont d une importance durable en tant que témoignage oculaire fiable en tant que toile talentueuse et réaliste de la réalité montagnarde au tournant du e au début xxe siècle,2,История. Исторические Науки
comparaison de méthodes de détermination du facteur de perte de la structure composite sandwich avec,23,Механика
l article prouve l opportunité d utiliser du plastique dans la construction de machine agricoles le fluoroplastique et le polyéthylène sont pointés du doigt comme étant les plus adaptés aux condition de production agricole,39,Машиностроение
nous rapportons un projet de séquence du génome de la souche b de mycobacterium tuberculosis appartenant à la lignée beijing b w isolée d un patient vih de sibérie en russie cet isolat clinique a montré un phénotype mdr et une résistance à l isoniazide à la rifampicine à la streptomycine et au pyrazinamide nous avon analysé le snp associés à la virulence et à la résistance le projet de séquence du génome et l annotation ont été déposés à genbank sous l accession nz lvjj,56,Медицина И Здравоохранение
la collection comprend des études sur l histoire du livre et de collection de livres le livre imprimé ancien et l histoire du livre des document de conférences tenues à la ban en des critique d exposition organisées à la r d et dans la salle slave du ban en,9,Культура. Культурология
la collection contient de article scientifiques de la faculté de étudiants diplômés et de candidats du département de procédure pénale et de criminalistique de l université d état de samara reflétant le résultats de la recherche scientifique fondamentale et appliquée sur les problèmes d actualité de la justice pénale en russie il intéresse à la fois le scientifiques et le praticiens les étudiants diplômés et les étudiants de écoles et facultés de droit ainsi que toute personne intéressée par le cours de la réforme judiciaire en fédération de russie,6,Государство И Право. Юридические Науки
le recommandations reflètent l efficacité de la production de viande bovine avec l utilisation de nouveaux médicaments anti stress laktopir et lactodafs,46,Пищевая Промышленность
une méthode est proposée pour concevoir des filtres récursifs à réponse impulsionnelle finie sous la forme d une impulsion radio avec une enveloppe et un remplissage donnés le procédé permet d obtenir une réponse en phase linéaire à des coûts de calcul nettement inférieurs par rapport aux filtres non récursifs,34,Электроника. Радиотехника
la collection comprend des résumés de participant à la conférence scientifique et pratique à participation internationale orientation professionnelle et autodétermination de étudiants théorie pratique innovation avril minsk qui meet en évidence le aspects théoriques du travail d orientation professionnelle présente l expérience de l organisation du travail d orientation professionnelle dans les établissements d enseignement de la région de minsk et d autres régions de biélorussie de russie de lituanie et d estonie,10,Народное Образование. Педагогика
la collection interuniversitaire d article scientifiques est publiée sur la base de matériaux de la conférence scientifique problèmes des relation intertextuelles organisée par le département de littérature de l asu en tous le auteur de article se concentrent sur un seul problème mais les approches de son solution sont très diverses a côté de la comporativistique traditionnelle un certain nombre d ouvrages présentent la méthodologie de l analyse intertextuelle,13,Литература. Литературоведение. Устное Народное Творчество
l aide pédagogique comprend des document historiques et d archive sur l histoire du journalisme en kalmoukie sa formation dans les années et son développement ultérieur ainsi que de données sur l état actuel de médias locaux la caractéristique des journaux et magazine de kalmoukie est donnée les principe de différenciation de la presse locale sont définis le manuel est complété par un programme de spécialisation complémentaire création littéraire et artistique et journalisme,15,Массовая Коммуникация. Журналистика. Средства Массовой Информации
le document de lecture qui ont eu lieu le novembre à la bibliothèque de l académie de science de russie ont été programmés pour coïncider avec le e anniversaire de la naissance d alexandrovna zaytseov historienne du livre écrivain et traductrice diriger département d histoire du livre du ban de à les rapport présentés lors des lecture reflétaient le sujets sur lesquels a a zaitseva était engagé au ban l histoire du livre et du commerce du livre en russie au xviiie siècle,2,История. Исторические Науки
le matériel de la monographie est présenté conformément aux derniers résultats d études de la structure de propriétés physico chimiques de l eau et de solution aqueuses une attention particulière est accordée aux données originales sur l effet de la dilution sur le solution aqueuses et à l historique associé à l exposition préliminaire à diver facteurs physique la monographie est destinée aux scientifiques et aux spécialistes travaillant dans le domaine de la chimie de l eau et serum également utile aux étudiants étudiants diplômés et enseignants des établissements d enseignement supérieur,24,Химия
l abus de droit est défini comme un type particulier d infraction civile utilisant le formalisme et les lacunes de normes et règles de droit civil le erreurs du législateur sont examinées qui se manifestent à trois niveaux principaux le erreurs textuelles erreurs lexicales et grammaticales erreurs contextuelles erreurs de pensée erreurs système erreurs intentionnelles et fonctionnelles,6,Государство И Право. Юридические Науки
ce catalogue contient une description bibliographique des livres de la bibliothèque personnelle de théophylacte lopatinsky archevêque de tver et kashinsky figure éminente de l église publiciste traducteur et enseignant de l ère pétrinienne la bibliothèque lopatinsky contenant volume était l une de collection de livres les plus importantes et le plus intéressantes de russie dans la première moitié du xviiie siècle à l heure actuelle la bibliothèque de l académie de science de russie compte volume qui faisaient partie de la collection de l archevêque théophylacte le texte est accompagné d index et de deux appendix registre de la bibliothèque lopatinsky note de stefan yavorsky dans le nouveau testament et le psautier,2,История. Исторические Науки
le résultats de la recherche scientifique de produits prometteurs,32,Энергетика
en raison de l absence d act juridiques réglementaires spécifiquement dédiés à la fourniture de service de concert le code civil de la fédération de russie est la principale source de réglementation juridique de ce service contenant à la fois de règles générales et spéciales,6,Государство И Право. Юридические Науки
