,annotation,GRNTI
13,"Описан чрезвычайно селективный биосенсор лактата, основанный на иммобилизации лактатоксидазы в углеродной пасте с диспергированным родием. Эффективное каталитическое действие микрочастиц родия по отношению к генерируемой перекиси водорода или потребленному кислороду позволяет настраивать рабочий потенциал в области, в которой предотвращаются нежелательные реакции. Вклад всех основных легко окисляемых веществ устраняется без необходимости использования мембранных барьеров или искусственных электронных посредников. Предел обнаружения составляет 1,5 х 10-5 М, а время отклика — 8 с. Проиллюстрирована быстрая и чувствительная операция нагнетания потока.",31. Химия
14,"Для двусторонних данных (данных, полученных с помощью так называемых методов с дефисом) было разработано несколько методов количественного определения аналитов. Одним из наиболее известных методов является ранговый факторный анализ (RAFA). Однако эффект, наблюдаемый в хроматографических данных, серьезно снижает удобство использования этого метода. Как и любой другой метод, основанный на использовании стандартов, RAFA не может правильно оценить концентрацию при наличии сдвигов во времени удерживания. Следовательно, необходим метод коррекции сдвига времени удерживания. Неравенство Бесселя можно использовать для корректировки смещения времени удерживания данных относительно стандартов. Затем RAFA можно использовать для оценки концентраций с высокой степенью точности. Эта процедура продемонстрирована на четырех наборах данных различной сложности, и было обнаружено, что она превосходно работает для всех наборов.",31.19. Химия / Аналитическая химия
15,"Представлено исследование экстракционного извлечения соединений бутилолова в отложениях с помощью сверхкритической флюидной экстракции (СФЭ). Достигнуто удовлетворительное извлечение для TBT (93,5 +/- 3,7%) и DBT (91,5 +/- 3%). Извлечение МБТ из обогащенных отложений (62 ± 5,1%) является самым высоким значением, достигнутым на сегодняшний день методом SFE. Представлено сравнение сверхкритической флюидной экстракции с усовершенствованным методом экстракции трополоновым растворителем для соединений бутилолова. Также приведены результаты анализа эталонного осадка (PACS-1).",31. Химия
16,"Медь можно определить спектрофотометрически при 600 нм на основе реакции меди(II) и бис(циклогексанон)оксалилдигидразона с использованием проточно-инжекционного анализа. Поток-носитель представлял собой дистиллированную воду, а потоки реагентов представляли собой 27% (масса/объем) раствор лимонной кислоты, 37% (масса/объем) раствор аммиака и 0,18% (масса/объем) раствор бис(циклогексанон)оксалилдигидразона. Градуировочный график был линейным до 20 мкг мл-1 меди, относительное стандартное отклонение для определения 5 мкг мл-1 меди составило 0,92% (n = 10), предел обнаружения 0,13 мкг мл-1 меди, оба исходя из объема инъекции 250 мкл. Система применялась для определения содержания меди в сталях, сплавах на основе меди и кормах для свиней, а также для мониторинга содержания меди в процессе удаления щелочной накипи.",31.19. Химия / Аналитическая химия
17,"Спектры поглощения хлорпромазина и промазина в присутствии двухслойных везикул лецитина (яичного желтка) измеряли относительно эталонных растворов, содержащих такое же количество только везикул лецитина, и спектры их вторых производных получали методом Савицкого-Голея. Эффекты остаточного фонового сигнала от лецитиновых везикул, наблюдаемые в спектрах поглощения, были полностью устранены, и оба препарата четко демонстрировали три производные изобестические точки. Производное изменение интенсивности (ΔD), вызванное добавлением лецитиновых везикул, измеряли при λmax каждого лекарственного средства, и из зависимости между значением ΔD и концентрацией липидов рассчитывали коэффициенты распределения (Kps). Доли разделенных хлорпромазина и промазина, рассчитанные с использованием полученных значений Kp, хорошо согласуются с экспериментальными значениями. Для препаратов, имеющих характер метахромазии между липидными везикулами и водой, и даже у которых полосы поглощения перекрываются с фоновыми сигналами липидных везикул, предложенный метод может быть применен к определению их коэффициентов распределения без нарушения условий равновесия путем разделительные процедуры.",31. Химия
18,"Исследовано флуориметрическое определение ионов ртути с 5,10,15,20-тетра(п-сульфонатофенил)порфирином в водных растворах и в легированных порфирином золь-гель пленках. Оптимизация условий комплексообразования, таких как буферные компоненты, диапазон рН и температура, привела к созданию метода, позволяющего определять ионы ртути в водных растворах в течение 15 мин с пределом обнаружения 1,4 мкг/л Hg(II). Установлено, что основными мешающими ионами являются Cd, Zn и Pb. Для разработки оптохимического сенсорного устройства производное порфирина было иммобилизовано в тонких золь-гель пленках (толщиной около 600 нм) и изучены сенсорные свойства (т.е. реакционная способность, стабильность и морфология чувствительных слоев). Было обнаружено, что тип используемого катализатора (кислотный или щелочной) влияет на стабильность и чувствительность. Сенсорные пленки, приготовленные с использованием кислоты, были стабильны и нечувствительны к ртути. Получение пленок с щелочным катализом приводило к получению чувствительных к ртути слоев с ограниченной стабильностью. Стабильность можно улучшить за счет ковалентного связывания реагента-красителя.",31. Химия
19,"Описан новый и быстрый метод предварительного концентрирования и разделения матриц в режиме реального времени для определения алюминия с помощью пламенной атомно-абсорбционной спектрометрии (ПААС) и масс-спектрометрии с индуктивно-связанной плазмой (ИСП-МС). Метод основан на селективном удерживании алюминия в микроколонке, заполненной Хромотропом 2Б, иммобилизованным на ионообменной смоле АГ 1-Х8. Были исследованы все переменные, влияющие на эффективность удержания и элюирования алюминия из микроколонки. Полученный метод является быстрым, чувствительным и селективным. Для времени сбора 10 и 2 мин при скорости потока 1 мл мин-1 пределы обнаружения составляют 10 и 0,1 нг мл-1 для FAAS и ИСП-МС соответственно. Предложенный метод, обладающий высокой чувствительностью и селективностью, успешно применен для определения алюминия в водопроводной воде и диализных растворах.",31.19. Химия / Аналитическая химия
20,"Низкотемпературный лазерный метод флуоресценции, то есть сужение линии флуоресценции (FLN), был использован для идентификации четырех стереоизомерных бензо[a]пиреновых тетролов, которые являются продуктами гидролиза аддуктов бензо[a]пирен-ДНК. Для получения «иммобилизованной» жидкостной хроматограммы использовали сочетание микрожидкостной хроматографии в обращенно-фазовом режиме (элюент: метанол-вода, 60:40, об./об.) и тонкослойной хроматографии с использованием пластин с силикагелем. Полученные таким образом хроматографические пики можно было идентифицировать с помощью спектроскопии FLN. С помощью FLN можно определить колебательные уровни первого возбужденного электронного состояния. Некоторые из этих колебаний существенно отличаются для рассматриваемых стереоизомеров, так что возможна однозначная спектроскопическая идентификация. Лазер на красителе с накачкой Nd:YAG был удвоен по частоте для получения длин волн возбуждения в диапазоне 360-368 нм. Флуоресценцию контролировали усиленным линейным матричным диодным детектором, установленным на монохроматоре с высокой разрешающей способностью. Пределы обнаружения полной системы разделения и идентификации находятся в диапазоне 100 фемтомолей.",29. Физика
21,"Разработан новый высокочувствительный жидкостный хроматографический метод определения ряда антибиотиков тетрациклинового ряда. Он основан на измерении флуоресценции, вызванной комплексообразованием тетрациклинов с катионом циркония, который добавляют после колонки к элюату жидкостной хроматографии. Концентрация циркониевого реагента и конфигурация после колонки были оптимизированы. Было изучено влияние времени на стабильность хелатов. Интенсивность флуоресценции была линейной в диапазоне концентраций 0,01-10 мкг/мл тетрациклина. Предлагаемый метод уже применялся для анализа остаточных количеств тетрациклина, окситетрациклина и хлортетрациклина в коровьем молоке. Наиболее поразительными преимуществами метода по сравнению с описанными в литературе являются более высокая чувствительность и специфичность. Пределы обнаружения анализа (отношение сигнал/шум = 4:1) составляли 1 нг/мл, 2 нг/мл и 4 нг/мл для окситетрациклина, тетрациклина и хлортетрациклина соответственно.",31. Химия
22,"Налидиксовая кислота и норфлоксацин были впервые определены в данной работе с применением кинетической методологии к реакциям комплексообразования с участием процессов переноса энергии. С использованием измерений начальной скорости разработан флуоресцентный метод, основанный на образовании комплексов этих соединений с тербием(III) в присутствии трис-буфера. Скорость образования этих комплексов очень высока, поэтому для проведения кинетических измерений требуется метод остановленного перемешивания, что, кроме того, позволяет автоматизировать метод. Второй лиганд, ЭДТА, также используется для снижения скорости реакции обеих систем посредством лигандного обмена, что необходимо для получения соответствующих кинетических данных. Скорость реакции достигается всего за 0,1-0,2 с после смешения реагентов, что позволяет легко применять предложенный метод для рутинных анализов. Калибровочный график является линейным в диапазоне концентраций налидиксовой кислоты 0,02–7,0 мкг мл-1 и норфлоксацина 0,4–9,0 мкг мл-1. Предел обнаружения налидиксовой кислоты и норфлоксацина составляет 0,006 и 0,13 мкг/мл соответственно. Также были изучены селективность и точность метода. Предложенный кинетический метод удовлетворительно применялся для прямого определения этих соединений в образцах сыворотки.",31. Химия
23,"Экспериментальные условия образования комплексов включения между карбазолом и эллиптицином и некоторыми циклодекстринами (ЦД): β-циклодекстрин (β-ЦД), гидроксипропил β-циклодекстрин (ГПβ-ЦД), (2,6-ди-О-метил)-β -циклодекстрин (DMβ-CD), (2,3,6-три-O-метил)-β-циклодекстрин (TMβ-CD) и γ-циклодекстрин (γ-CD). Заметное увеличение интенсивности флуоресценции молекул-хозяев наблюдается при комплексообразовании, что связано с защитой возбужденного состояния внутри полости циклодекстрина. Это позволяет проводить количественный анализ обоих соединений в водной среде при уровнях концентрации от 10-7 М до 10-6 М. Включение также влияет на равновесие депротонирования пиррольного азота обоих соединений. Таким образом, β-CD облегчает депротонирование карбазола, в то время как HPβ-CD, DMβ-CD, TMβ-CD и γ-CD затрудняют его. Аналогичные наблюдения были сделаны для эллиптичина, хотя его поведение было более сложным из-за сосуществования двух ионизационных равновесий из-за присутствия основного пиридиноподобного азота. Наконец, было также изучено влияние циклодекстринов на тушение флуоресценции, вызванное тяжелыми атомами галогена. В случае карбазола наблюдается статическое тушение, которому препятствуют модифицированные β-ЦД. В случае с эллиптицином эффект тушения был связан с кислотно-основным равновесием, поэтому его изучали в кислых (λex = 305 нм, λem = 520 нм) и основных (λex = 292 нм, λem = 430 нм) условиях. .",31. Химия
24,"В настоящей работе мы практически полностью завершим решение задачи об описании надгрупп подсистемной подгруппы E(Δ,R) группы Шевалле G(Φ,R) над кольцом R, где Φ - система корней с простыми связями, а Δ - ее достаточно большая подсистема. А именно, мы определим объекты, называемые уровнями, и покажем, что для любой такой надгруппы H существует единственный уровень σ, такой, что E(σ)≤H≤StabG(Φ,R)(Lmax(σ)), где E(σ) - элементарная подгруппа, связанная с уровнем σ, а Lmax(σ) - соответствующая подалгебра Ли в алгебре Шевалле. В отличии от предыдущих работ уровни могут быть устроены сложнее, чем сети идеалов.",27. Математика
25,"Приводится полная характеризация собственных замкнутых инвариантных подпространств оператора обобщенного обратного сдвига (оператора Поммье) в пространстве Фреше всех функций, голоморфных в односвязной области Ω комплексной плоскости, содержащей точку 0. В случае, когда порождающая этот оператор функция не имеет нулей в Ω, все такие подпространства являются конечномерными. Если дополнительно Ω совпадает со всей комплексной плоскостью, то рассматриваемый оператор обобщенного обратного сдвига является одноклеточным. Если эта функция имеет нули в Ω, то семейство упомянутых инвариантных подпространств распадается на два клаcса: первый состоит из конечномерных подпространств, а второй - из бесконечномерных.",27. Математика
26,"Доказана теорема, аналитически характеризующая шары в евклидовом пространстве Rm. Для этого вместо гармонических функций, использованных в предыдущих результатах, применяются положительные решения модифицированного уравнения Гельмгольца. Полученная в результате теорема типа Курана включает свойство среднего значения объема решений этого уравнения. Обсуждаются другие вероятные свойства обратного среднего значения этих решений.",27. Математика
27,"В работе установлено, что диэдральные гомологии инволютивных A∞-алгебр гомотопически инвариантны относительно гомотопических эквивалентностей инволютивных A∞-алгебр. Как следствие показано, что над любым полем диэдральные гомологии топологического пространства изоморфны диэдральным гомологиям инволютивной A∞-алгебры гомологий симплициальной группы петель Кана исходного топологического пространства.",27. Математика
28,"Для чисел Морса пространств матричных элементов вещественных неприводимых линейных представлений связных компактных простых групп Ли получены различные варианты верхних оценок в зависимости от размерности, индекса Дынкина представления, собственных значений биинвариантного оператора Лапласа и объёма группы.",27. Математика
29,"В работе построены теории суперхарактеров для конечных групп, полученных параболической контракцией из простых групп лиевских типов A,B,C,D. В терминах расстановок ладей в системах корней проведена классификация суперхарактеров и суперклассов.",27.17. Математика / Алгебра
30,"Рассмотрим систему полиномиальных уравнений от n переменных степени не больше d с целыми коэффициентами с длиной записи не больше M. Мы доказываем при помощи конструкции близкой к гладкой стратификации алгебраических многообразий, что можно построить соответствующее этой системе положительное целое число Δ<2M(nd)c2nn3 (здесь c>0 является константой), удовлетворяющее следующему свойству. Для всякого простого числа p рассматриваемая система имеет решение в кольце целых p-адических чисел в том и только в том случае, если она имеет решение по модулю pN для наименьшего целого числа N такого, что pN не делит Δ. Это улучшает известный ранее, ставший классическим, результат Б. Дж. Бёрча и К. МасКанна.",27. Математика
31,"В статье получено полное описание тех классов Карлемана на Rn, для которых из принадлежности граничных значений функции ограниченного вида в Cn+ следует её принадлежность классу Карлемана в Cn+∪Rn. Получено также уточнение классической теоремы Салинаса, а именно: в условиях теоремы Салинаса о квазианалитичности установлено, что в её условиях вместо принадлежности функции классу Карлемана в Cn+∪Rn, достаточно принадлежности граничных значений на Rn классу Карлемана, а сама функция имеет ограниченный вид в Cn+.",27.27. Математика / Теория функций комплексных переменных
32,"Устанавливается несколько первоначальных фактов о категории Eq отношений эквивалентности на множестве натуральных чисел, где морфизмом между двумя отношениями эквивалентности R,S является отображение из множества классов эквивалентности R во множество классов эквивалентности S, индуцированное вычислимой функцией. Рассматриваются некоторые полные подкатегории Eq, напр., категория Eq(Σ01) позитивных отношений эквивалентности, категория Eq(Π01) негативных отношений эквивалентности, и категория Eq(Dark∗), чьими объектами являются тёмные позитивные отношения и позитивные отношения, имеющие только конечное число классов эквивалентности. Хотя во всех этих категориях мономорфизмы совпадают с инъективными морфизмами, показывается, что в Eq(Σ01) эпиморфизмы совпадают с сюръективными морфизмами, но в Eq(Π01) существуют эпиморфизмы, не являющиеся сюръективными. Более того, Eq, Eq(Σ01) и Eq(Dark∗) замкнуты относительно конечных произведений, бинарных копроизведений и коуравнителей, но в Eq(Π01) найдётся пара морфизмов, чей коуравнитель в Eq не является объектом в Eq(Π01).",27. Математика
33,"Исчисление Ламбека с единицей можно определить как атомарную теорию (алгебраическую логику) класса моноидов с делениями. Это исчисление, как теория более широкого класса алгебр, чем гейтинговы алгебры, оказывается слабее интуиционистской логики, и в нём отсутствуют структурные правила перестановки, сокращения и ослабления. Рассматриваются расширения исчисления Ламбека модальностями~--- экспоненциалом, под знаком которого разрешены все структурные правила, и релевантной модальностью, под знаком которой разрешены только правила перестановки и сокращения. Исчисление Ламбека с релевантной модальностью применяется в математической лингвистике. Оба эти расширения алгоритмически неразрешимы. Рассматриваются их фрагменты, в которых модальность может применяться только к формулам хорновой глубины не более~1. Для этих фрагментов доказывается разрешимость и принадлежность классу {	extup{NP}}. Для доказательства, в случае релевантной модальности, вводится новое понятие R-тотальной выводимости в контекстно-свободных грамматиках - существование вывода, использующего каждое правило не менее определённого числа раз. Устанавливается {	extup{NP}}-полнота задачи R-тотальной выводимости для контекстно-свободных грамматик, а также выясняется сложность этой задачи для более общих классов порождающих грамматик.",27. Математика
